ID,user_id,user_type,email,phone_number,first_name,last_name,App_rate
1,1,user,mayco123@example.com,501234567,Maya,Cohen,1
2,2,user,noalev_22@email.com,522345678,Noa,Levy,2
3,3,user,tamar_mi88@example.net,533456789,Tamar,Mizrahi,3
4,4,user,shira_av55@email.org,544567890,Shira,Avraham,4
5,5,user,adi_ka99@example.com,555678901,Adi,Katz,5
6,6,user,yaellev_77@email.net,586789012,Yael,Levi,1
7,7,user,roni_per123@example.org,727890123,Roni,Peretz,2
8,8,user,neta_go1@email.com,778901234,Neta,Goldstein,3
9,9,user,liora_sh@p@example.net,789012345,Liora,Shapira,4
10,10,user,michal_ro77@email.org,790123456,Michal,Rosenberg,5
11,1,volunteer,sarah@example.com,5552223333,Sarah,Miller,1
12,2,volunteer,john@example.com,4443332222,John,Smith,2
13,3,volunteer,emily@example.com,3334445555,Emily,Johnson,3
14,4,volunteer,michael@example.com,2225556666,Michael,Brown,4
15,5,volunteer,ashley@example.com,1116667777,Ashley,Davis,5
16,6,volunteer,kevin@example.com,6667778888,Kevin,Wilson,1
17,7,volunteer,jessica@example.com,7778889999,Jessica,Lee,2
18,8,volunteer,daniel@example.com,8889990000,Daniel,Martinez,3
19,9,volunteer,megan@example.com,9990001111,Megan,Taylor,4
20,10,volunteer,daniel@example.com,1112222,Daniel,Anderson,5
21,1,contact,mary1@example.com,5551112222,Mary,Johnson,1
22,2,contact,michael2@example.com,4442223333,Michael,Williams,2
23,3,contact,sarah3@example.com,3335556666,Sarah,Brown,3
24,4,contact,chris4@example.com,2223334444,Chris,Taylor,4
25,5,contact,emily5@example.com,1114445555,Emily,Garcia,5
26,6,contact,kevin6@example.com,6669998888,Kevin,Martinez,1
27,7,contact,ashley7@example.com,7778889999,Ashley,Anderson,2
28,8,contact,jessica8@example.com,8887776666,Jessica,Thomas,3
29,9,contact,daniel9@example.com,9998887777,Daniel,Hernandez,4
30,10,contact,megan99@example.com,1234567890,Megan,Lopez,5
